symbol,name,market_cap,last_price,avg_daily_volume_value,sector,industry,red_flag_status,red_flag_reasons,fund_profitability,fund_growth,fund_valuation,fund_financial_health,fund_dividend,fundamental_score,fund_data_coverage,roe,pe_ratio,debt_to_equity,operating_margin,technical_score,tech_data_coverage,tech_trend,tech_momentum,tech_volume,tech_relative_strength,composite_score_raw,l_category,sector_preference_mult,composite_score,composite_rank,fundamental_rank,technical_rank,data_quality,qual_management,qual_moat,qual_catalysts,qual_governance,qual_strategy_alignment,qualitative_score
CPPLUS.NS,Aditya Infotech Limited,199938703360,1697.3,468235411.521814,Industrials,Building Products & Equipment,PASS,,52.5,98.0,22.5,90.0,50.0,65.12500000000001,1.0,,78.36104,8.041,0.11205,75.25000000000001,1.0,80.0,67.5,60.0,100.0,67.15000000000002,L2,1.1,73.86500000000002,11,161,3,HIGH,60.0,85.0,63.33333333333333,60.0,56.66666666666667,66.41666666666666
FORCEMOT.NS,FORCE MOTORS LTD,274856820736,20860.0,2820180509.9,Consumer Cyclical,Auto Manufacturers,PASS,,72.5,88.0,32.5,100.0,60.0,72.62500000000001,1.0,,20.091694,,0.14155,48.750000000000014,1.0,53.33333333333333,42.5,16.666666666666668,93.33333333333334,67.85000000000002,L2,1.07,72.59950000000003,21,26,219,HIGH,60.0,75.0,60.0,80.0,56.66666666666667,66.25
GARUDA.NS,Garuda Construction and Engineering Limited,14233525248,152.98,214682383.18273365,Industrials,Engineering & Construction,PASS,,87.5,98.0,47.5,90.0,65.0,80.37500000000001,1.0,,13.325784,0.023,0.32152,34.25000000000001,1.0,23.333333333333336,32.5,16.666666666666668,86.66666666666666,71.15,L2,1.1,78.26500000000001,3,1,881,HIGH,60.0,45.0,80.0,80.0,80.0,66.25
ATLANTAELE.NS,Atlanta Electricals Limited,86681722880,1127.25,135830211.65187377,Industrials,Electrical Equipment & Parts,PASS,,67.5,96.0,37.5,55.0,50.0,64.37500000000001,1.0,,66.85943,46.263,0.17448,72.58333333333334,1.0,75.0,60.0,66.66666666666667,100.0,66.01666666666668,L2,1.1,72.61833333333335,19,190,11,HIGH,60.0,75.0,80.0,30.0,73.33333333333333,65.25
GANDHITUBE.NS,Gandhi Special Tubes Limited,9837034496,806.55,25048456.25918579,Industrials,Metal Fabrication,PASS,,92.5,70.0,47.5,90.0,75.0,75.62500000000001,1.0,,13.813153,0.04,0.44226003,49.75000000000001,1.0,48.33333333333333,55.0,16.666666666666668,86.66666666666666,70.45000000000002,L2,1.1,77.49500000000002,4,10,197,HIGH,60.0,55.0,80.0,80.0,56.66666666666667,65.25
SJS.NS,S.J.S. Enterprises Limited,48850161664,1527.7,187940008.37780762,Consumer Cyclical,Auto Parts,PASS,,77.5,94.0,22.5,90.0,60.0,71.37500000000001,1.0,,31.52497,4.444,0.23403999,41.66666666666667,1.0,41.66666666666667,32.5,16.666666666666668,93.33333333333334,65.43333333333335,L2,1.07,70.0136666666667,37,35,424,HIGH,60.0,65.0,70.0,80.0,50.0,64.75
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,268113231872,928.35,649203598.1636027,Financial Services,Asset Management,PASS,,97.5,60.0,22.5,90.0,60.0,67.87500000000001,1.0,,26.418612,1.929,0.64426005,61.83333333333334,1.0,61.66666666666667,57.5,40.0,100.0,66.66666666666669,L1,1.05,70.00000000000003,38,90,65,HIGH,70.0,65.0,46.66666666666667,75.0,66.66666666666667,64.33333333333334
BLS.NS,BLS International Services Limited,96232792064,233.75,593773154.2244736,Industrials,Specialty Business Services,PASS,,77.5,98.0,42.5,80.0,60.0,74.37500000000001,1.0,,14.974376,16.545,0.23725,34.333333333333336,1.0,25.0,37.5,16.666666666666668,73.33333333333333,66.36666666666667,L2,1.1,73.00333333333334,17,16,868,HIGH,60.0,45.0,70.0,80.0,80.0,64.25
RAJOOENG.NS,Rajoo Engineers Limited,9569849344,53.56,29461316.19334793,Industrials,Specialty Industrial Machinery,PASS,,77.5,84.0,47.5,90.0,60.0,73.87500000000001,1.0,,15.172805,5.21,0.22469,29.750000000000007,1.0,18.333333333333332,30.0,16.666666666666668,73.33333333333333,65.05000000000001,L2,1.1,71.55500000000002,29,20,1212,HIGH,60.0,35.0,80.0,80.0,80.0,63.75
GPPL.NS,Gujarat Pipavav Port Limited,71431536640,147.7,170279448.97741497,Industrials,Marine Shipping,PASS,,92.5,64.0,32.5,90.0,50.0,68.62500000000001,1.0,,14.725822,2.111,0.43796003,41.91666666666667,1.0,36.666666666666664,42.5,16.666666666666668,86.66666666666666,63.283333333333346,L2,1.1,69.61166666666668,42,82,403,HIGH,70.0,55.0,63.33333333333333,80.0,50.0,63.416666666666664
BSE.NS,BSE Limited,1123109306368,2765.4,14340098915.90573,Financial Services,Financial Data & Stock Exchanges,PASS,,97.5,94.0,27.5,100.0,60.0,79.37500000000001,1.0,,52.13801,0.0,0.8172,59.58333333333334,1.0,60.0,47.5,46.66666666666667,100.0,75.41666666666669,L1,1.05,79.18750000000003,2,2,79,HIGH,40.0,75.0,63.33333333333333,80.0,66.66666666666667,63.416666666666664
QPOWER.NS,Quality Power Electrical Equipments Limited,62791671808,810.8,894159831.9643759,Industrials,Electrical Equipment & Parts,PASS,,67.5,92.0,27.5,90.0,60.0,69.37500000000001,1.0,,58.881622,5.486,0.26584,55.333333333333336,1.0,61.66666666666667,42.5,40.0,86.66666666666666,66.56666666666668,L2,1.1,73.22333333333336,16,66,127,HIGH,60.0,55.0,70.0,80.0,56.66666666666667,63.25
GESHIP.NS,The Great Eastern Shipping Company Limited,199317241856,1396.1,806677797.0110352,Industrials,Marine Shipping,PASS,,87.5,70.0,62.5,90.0,60.0,75.87500000000001,1.0,,8.8293705,8.236,0.3818,67.00000000000001,1.0,68.33333333333333,62.5,46.66666666666667,100.0,74.10000000000002,L2,1.1,81.51000000000003,1,9,31,HIGH,60.0,65.0,50.0,80.0,63.33333333333333,62.75
SRM.NS,SRM Contractors Limited,8988938240,391.7,91166588.61131592,Industrials,Engineering & Construction,PASS,,62.5,98.0,52.5,80.0,50.0,71.62500000000001,1.0,,11.127841,19.915,0.16825001,42.91666666666667,1.0,43.33333333333333,32.5,30.0,80.0,65.88333333333334,L2,1.1,72.47166666666668,24,32,367,HIGH,60.0,55.0,80.0,30.0,90.0,62.75
NAVA.NS,NAVA LIMITED,153273483264,541.6,153045427.31687215,Industrials,Conglomerates,PASS,,82.5,60.0,50.0,80.0,75.0,69.12500000000001,1.0,,17.226461,15.987,0.32986,41.91666666666667,1.0,36.666666666666664,42.5,16.666666666666668,86.66666666666666,63.683333333333344,L2,1.1,70.05166666666669,36,72,403,HIGH,50.0,65.0,60.0,80.0,63.33333333333333,62.25
MAYURUNIQ.NS,Mayur Uniquoters Ltd,21529866240,494.65,39397677.28676249,Consumer Cyclical,Textile Manufacturing,PASS,,77.5,74.0,52.5,90.0,60.0,72.37500000000001,1.0,,12.372437,0.735,0.20249,37.16666666666667,1.0,31.666666666666664,32.5,16.666666666666668,86.66666666666666,65.33333333333334,L2,1.07,69.90666666666668,40,28,696,HIGH,50.0,55.0,63.33333333333333,80.0,70.0,61.416666666666664
