symbol,name,market_cap,last_price,avg_daily_volume_value,sector,industry,red_flag_status,red_flag_reasons,fund_profitability,fund_growth,fund_valuation,fund_financial_health,fund_dividend,fundamental_score,fund_data_coverage,roe,pe_ratio,debt_to_equity,operating_margin
ASHOKA.NS,Ashoka Buildcon Limited,32188065792,114.6,163793410.7685084,Industrials,Engineering & Construction,PASS,,83.33333333333334,67.5,72.5,45.0,50.0,66.20833333333334,1.0,,1.1330829,44.43,0.21544
ITC.NS,ITC Limited,3822668218368,305.1,6472441499.226856,Consumer Defensive,Tobacco,PASS,,96.66666666666666,57.5,23.333333333333336,90.0,50.0,66.20833333333334,1.0,,18.775385,0.507,0.32182
BANCOINDIA.NS,Banco Products (I) Limited,79550193664,556.15,164777133.65792033,Consumer Cyclical,Auto Parts,PASS,,56.66666666666667,90.0,42.5,70.0,70.0,66.16666666666667,1.0,,16.314169,44.582,0.1257
GALAPREC.NS,Gala Precision Engineering Limited,9625037824,752.1,15083942.877124023,Industrials,Specialty Industrial Machinery,PASS,,56.66666666666667,90.0,32.5,90.0,50.0,66.16666666666667,1.0,,29.151163,8.821,0.13525
EIHOTEL.NS,EIH Limited,196895916032,314.85,603471860.7730978,Consumer Cyclical,Lodging,PASS,,90.0,65.0,16.666666666666668,90.0,60.0,66.08333333333334,1.0,,30.56796,5.176,0.38906
STYLAMIND.NS,Stylam Industries Limited,37529784320,2214.4,91698149.56735025,Consumer Cyclical,"Furnishings, Fixtures & Appliances",PASS,,56.66666666666667,77.5,37.5,100.0,50.0,66.04166666666667,1.0,,26.567486,,0.18767
VLSFINANCE.NS,VLS Finance Limited,7028820992,224.0,3539937.8469380694,Financial Services,Capital Markets,PASS,,70.0,50.0,60.0,90.0,60.0,66.00000000000001,1.0,,13.317479,0.001,0.77385
NETWEB.NS,Netweb Technologies India Limited,178918703104,3139.4,9572811556.245264,Technology,Computer Hardware,PASS,,50.0,100.0,22.5,90.0,60.0,66.00000000000001,1.0,,131.79681,3.108,0.117180005
SHAILY.NS,Shaily Engineering Plastics Limited,87274209280,1897.6,487094065.49756676,Basic Materials,Specialty Chemicals,PASS,,76.66666666666667,85.0,17.5,80.0,60.0,65.91666666666667,1.0,,55.291374,29.807,0.21486
SUNTV.NS,Sun TV Network Limited,219051917312,557.2,198627272.28429362,Communication Services,Broadcasting,PASS,,96.66666666666666,25.0,50.0,90.0,75.0,65.91666666666667,1.0,,13.871974,1.183,0.35543
ORIENTHOT.NS,Oriental Hotels Limited,15127350272,84.7,28929481.474326577,Consumer Cyclical,Lodging,PASS,,70.0,87.5,37.5,65.0,60.0,65.87500000000001,1.0,,27.5,27.132,0.24896
GRSE.NS,Garden Reach Shipbuilders & Engineers Limited,261118214144,2279.1,2429097117.2466474,Industrials,Aerospace & Defense,PASS,,43.33333333333333,100.0,22.5,90.0,75.0,65.83333333333334,1.0,,37.959694,1.393,0.08417
CHALET.NS,Chalet Hotels Limited,158906826752,725.15,103791671.63969727,Consumer Cyclical,Lodging,PASS,,90.0,95.0,32.5,35.0,60.0,65.75000000000001,1.0,,26.226042,72.88,0.35524
KRN.NS,KRN Heat Exchanger and Refrigeration Limited,52528541696,845.1,2358660488.959172,Technology,Electronic Components,PASS,,56.66666666666667,100.0,17.5,90.0,50.0,65.66666666666669,1.0,,77.10766,5.766,0.16521999
JAICORPLTD.NS,Jai Corp Limited,16901660672,96.23,55360533.57766596,Basic Materials,Specialty Chemicals,PASS,,76.66666666666667,40.0,62.5,90.0,60.0,65.66666666666667,1.0,,9.809378,0.063,0.18885
VIKRAMSOLR.NS,Vikram Solar Limited,64864350208,179.02,597638213.5207306,Technology,Solar,PASS,,63.33333333333333,85.0,52.5,65.0,50.0,65.58333333333334,1.0,,14.3906765,8.898,0.15225
SCI.NS,Shipping Corporation Of India Limited,109881982976,235.9,2277355886.457907,Industrials,Marine Shipping,PASS,,83.33333333333334,55.0,62.5,55.0,75.0,65.58333333333334,1.0,,9.699836,32.955,0.2524
INDRAMEDCO.NS,Indraprastha Medical Corporation Limited,34823892992,379.7,95225486.3632314,Healthcare,Medical Care Facilities,PASS,,56.66666666666667,77.5,32.5,90.0,75.0,65.54166666666667,1.0,,19.032581,4.76,0.13643
SYNCOMF.NS,Syncom Formulations (India) Limited,11240877056,11.95,20154759.46409823,Healthcare,Drug Manufacturers - Specialty & Generic,PASS,,56.66666666666667,75.0,47.5,90.0,50.0,65.41666666666667,1.0,,16.369862,0.184,0.1724
KSOLVES.NS,Ksolves India Limited,6351259136,267.85,24513656.11352234,Technology,Software - Application,PASS,,83.33333333333334,67.5,23.333333333333336,90.0,50.0,65.37500000000001,1.0,,20.844358,7.526,0.30544
GODFRYPHLP.NS,Godfrey Phillips India Limited,313086574592,2007.2,3873962102.04939,Consumer Defensive,Tobacco,PASS,,70.0,77.5,17.5,90.0,70.0,65.37500000000001,1.0,,24.09893,3.005,0.19087
JSWHL.NS,JSW Holdings Limited,170940628992,15379.0,28365649.2,Industrials,Conglomerates,PASS,,96.66666666666666,62.5,37.5,,50.0,65.36458333333333,0.8,,119.25403,,0.89014
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,4311604789248,1797.0,4393893763.975911,Healthcare,Drug Manufacturers - Specialty & Generic,PASS,,76.66666666666667,72.5,12.5,90.0,75.0,65.29166666666667,1.0,,39.425186,6.675,0.26173002
INDOTECH.NS,Indo Tech Transformers Limited,13875597312,1305.8,68248562.65734456,Industrials,Electrical Equipment & Parts,PASS,,56.66666666666667,82.5,37.5,90.0,50.0,65.29166666666667,1.0,,15.445943,3.617,0.1619
POLYCAB.NS,Polycab India Limited,1076811530240,7145.0,3472776946.4333334,Industrials,Electrical Equipment & Parts,PASS,,66.0,95.0,17.5,70.0,75.0,65.25000000000001,1.0,0.25955,41.044346,2.089,0.11338
VENTIVE.NS,Ventive Hospitality Limited,148882784256,637.5,69038661.18909302,Consumer Cyclical,Lodging,PASS,,90.0,85.0,37.5,45.0,50.0,65.25000000000001,1.0,,40.57925,42.178,0.33074
SUPRIYA.NS,Supriya Lifescience Limited,46667948032,579.85,98128189.13125814,Healthcare,Biotechnology,PASS,,96.66666666666666,50.0,22.5,90.0,60.0,65.16666666666667,1.0,,25.188965,0.484,0.31613
CONCORDBIO.NS,Concord Biotech Limited,123248353280,1178.1,995534324.8870239,Healthcare,Biotechnology,PASS,,90.0,60.0,10.0,90.0,75.0,65.00000000000001,1.0,,39.70677,0.088,0.28885
KRISHIVAL.NS,Krishival Foods Limited,8225403392,320.95,5280520.396259562,Consumer Defensive,Packaged Foods,PASS,,50.0,100.0,27.5,80.0,60.0,65.00000000000001,1.0,,37.40676,18.157,0.12738
ELLEN.NS,Ellenbarrie Industrial Gases Limited,27082184704,192.16,62039928.31326294,Basic Materials,Chemicals,PASS,,90.0,80.0,20.0,60.0,,65.0,0.9,,,12.866,0.24154
UJJIVANSFB.NS,Ujjivan Small Finance Bank Limited,98112290816,50.55,695120187.4521861,Financial Services,Banks - Regional,PASS,,50.0,95.0,53.33333333333333,,50.0,64.89583333333334,0.8,,20.059525,,0.22211
EFCIL.NS,EFC (I) Limited,27242514432,198.44,121431050.61810201,Real Estate,Real Estate Services,PASS,,90.0,87.5,42.5,35.0,50.0,64.87500000000001,1.0,,12.418023,160.926,0.31857002
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,3117947813888,1352.8,4184987201.178003,Industrials,Marine Shipping,PASS,,90.0,87.5,27.5,45.0,60.0,64.87500000000001,1.0,0.19407,23.470345,81.556,0.45356998
ENRIN.NS,Siemens Energy India Limited,1001090383872,2811.1,1231608498.2354898,Utilities,Utilities - Renewable,PASS,,63.33333333333333,90.0,12.5,90.0,60.0,64.83333333333334,1.0,,84.468155,3.369,0.22424
SKMEGGPROD.NS,SKM Egg Products Export (India) Limited,7949554176,150.96,39345908.16380463,Consumer Defensive,Packaged Foods,PASS,,56.66666666666667,92.5,52.5,55.0,60.0,64.79166666666667,1.0,,14.473634,50.68,0.19086
PERSISTENT.NS,Persistent Systems Limited,720628023296,4608.6,4637242100.030729,Technology,Information Technology Services,PASS,,70.0,85.0,12.5,80.0,75.0,64.75000000000001,1.0,0.24966998,41.5676,5.535,0.16750999
LATENTVIEW.NS,Latent View Analytics Limited,57845874688,279.55,506470907.1174967,Industrials,Consulting Services,PASS,,70.0,75.0,27.5,90.0,50.0,64.75000000000001,1.0,,29.089489,1.517,0.18579
IPL.NS,India Pesticides Limited,15997182976,138.78,26082934.789194744,Basic Materials,Agricultural Inputs,PASS,,56.66666666666667,60.0,57.5,90.0,60.0,64.66666666666669,1.0,,14.59306,4.981,0.14277
KKCL.NS,Kewal Kiran Clothing Limited,28301365248,459.25,27289237.157616172,Consumer Cyclical,Apparel Manufacturing,PASS,,58.0,80.0,37.5,83.33333333333334,60.0,64.66666666666669,1.0,0.14339,20.311808,14.84,0.17169
MANORAMA.NS,Manorama Industries Limited,74546094080,1248.5,142354206.74531657,Consumer Defensive,Packaged Foods,PASS,,76.66666666666667,100.0,27.5,45.0,60.0,64.66666666666669,1.0,,35.070225,66.88,0.26953
MGL.NS,Mahanagar Gas Limited,99469221888,1007.0,409148841.7533529,Utilities,Utilities - Regulated Gas,PASS,,56.66666666666667,60.0,50.0,90.0,75.0,64.66666666666669,1.0,,10.439561,3.545,0.120629996
ELDEHSG.NS,Eldeco Housing And Industries Limited,7936936960,802.5,2591205.975472005,Real Estate,Real Estate Services,PASS,,83.33333333333334,55.0,32.5,80.0,75.0,64.58333333333334,1.0,,34.830727,26.96,0.40504003
KAMDHENU.NS,Kamdhenu Limited,6121764864,21.7,43199465.886350125,Basic Materials,Steel,PASS,,43.33333333333333,65.0,67.5,90.0,60.0,64.58333333333334,1.0,,7.8057556,0.156,0.11788
CUB.NS,City Union Bank Limited,169340452864,227.9,508293199.9554789,Financial Services,Banks - Regional,PASS,,70.0,70.0,53.33333333333333,,60.0,64.58333333333334,0.8,,13.525222,,0.46273
UNIONBANK.NS,Union Bank of India,1334777741312,174.81,3039262562.8789535,Financial Services,Banks - Regional,PASS,,62.0,72.5,60.0,,60.0,64.53125,0.8,0.15561,7.0459495,,0.46386
AUBANK.NS,AU Small Finance Bank Limited,664393089024,889.2,2971150798.2632933,Financial Services,Banks - Regional,PASS,,63.33333333333333,92.5,33.333333333333336,,60.0,64.53125,0.8,,28.814,,0.32341
FIEMIND.NS,Fiem Industries Limited,51402297344,1953.0,180134418.16363117,Consumer Cyclical,Auto Parts,PASS,,50.0,80.0,32.5,90.0,75.0,64.50000000000001,1.0,,21.099827,5.696,0.11608
INOXGREEN.NS,Inox Green Energy Services Limited,57688829952,143.61,183700267.1362376,Utilities,Utilities - Renewable,PASS,,70.0,90.0,32.5,65.0,50.0,64.50000000000001,1.0,,85.99401,4.695,0.14733
MOTISONS.NS,Motisons Jewellers Limited,13000968192,12.97,123483657.82925116,Consumer Cyclical,Luxury Goods,PASS,,63.33333333333333,86.66666666666666,30.0,80.0,50.0,64.5,1.0,,,12.395,0.19917999
FEDERALBNK.NS,The Federal Bank  Limited,643577937920,261.25,1992858574.160673,Financial Services,Banks - Regional,PASS,,70.0,75.0,46.66666666666667,,60.0,64.47916666666667,0.8,,15.842936,,0.40438
LLOYDSENGG.NS,LLOYDS ENGINEERING WORKS LIMITED,59873837056,40.62,184182423.7374354,Industrials,Specialty Industrial Machinery,PASS,,63.33333333333333,82.5,22.5,80.0,75.0,64.45833333333334,1.0,,34.42373,15.717,0.17086
SAMHI.NS,Samhi Hotels Limited,32997322752,149.17,142840679.5233317,Consumer Cyclical,Lodging,PASS,,83.33333333333334,92.5,57.5,20.0,50.0,64.45833333333334,1.0,,15.506237,94.106,0.27326
ECOSMOBLTY.NS,Ecos (India) Mobility & Hospitality Limited,7405799936,123.43,72507432.00737101,Industrials,Rental & Leasing Services,PASS,,36.666666666666664,85.0,42.5,90.0,75.0,64.41666666666667,1.0,,12.355355,3.246,0.07749
INTERARCH.NS,Interarch Building Solutions Limited,28720121856,1712.4,221511720.02868652,Industrials,Engineering & Construction,PASS,,36.666666666666664,95.0,37.5,90.0,60.0,64.41666666666667,1.0,,21.044611,1.401,0.0889
GOLDIAM.NS,Goldiam International Limited,32892964864,291.3,455131110.3317474,Consumer Cyclical,Luxury Goods,PASS,,76.66666666666667,55.0,37.5,90.0,60.0,64.41666666666667,1.0,,20.851824,2.357,0.21500999
ROLEXRINGS.NS,Rolex Rings Limited,31212099584,114.61,155872834.124529,Industrials,Metal Fabrication,PASS,,70.0,57.5,47.5,90.0,50.0,64.37500000000001,1.0,,15.9180565,0.01,0.17532
