symbol,name,type,sector,industry,cmp,change_pct,market_cap_cr,promoter_holding_pct,pe_ratio,pb_ratio,roe_pct,debt_to_equity,dividend_yield_pct,revenue_growth_pct,earnings_growth_pct,fcf_cr,52w_high,52w_low,pct_from_52w_high,target_price,analyst_upside_pct,fundamental_score,valuation_grade,valuation_detail,trend,rsi,vwap,supertrend,supertrend_signal,signal,signal_strength,signal_details,risk_level,risk_score,volatility_ann,volatility_percentile,daily_return_pct,bb_pct_b,bb_width_pct,atr_pct,max_drawdown_pct,current_drawdown_pct,ma50_deviation_pct,ma200_deviation_pct,intrinsic_value,dcf_upside_pct,wacc_used,fcf_growth_used,recommendation,recommendation_rank,rationale
PERSISTENT.NS,PERSISTENT,STOCK,Unknown,,4716.7,2.47,73753.1,32.0,42.6,9.48,25.0,5.5,93.0,23.4,16.8,1807.8,6599.0,4148.95,-28.5,6370.5293,35.1,65.41666666666667,EXPENSIVE,"PE: expensive, PB: very expensive",BEARISH,39.1,4777.28,5142.58,SELL,HOLD,-1,MACD positive | Price below VWAP (4777) | Supertrend SELL,MEDIUM,58,38.9,92.5,2.47,46.5,10.35,4.28,-30.7,-27.9,-14.4,-16.78,1933.83,-59.0,9.8,22.3,HOLD,2,Good fundamentals (65/100). Expensively valued. Bearish trend. Medium risk (score 58/100). Analysts see 35% upside
POLICYBZR.NS,POLICYBZR,STOCK,Unknown,,1497.1,0.56,69345.0,26.0,119.0,10.15,,4.9,,37.1,163.2,,1978.0,1364.0,-24.3,1938.0834,29.5,61.875000000000014,VERY_EXPENSIVE,"PE: very expensive, PB: very expensive",WEAK,48.8,1481.37,1556.63,SELL,HOLD,1,MACD positive | Price above VWAP (1481) | Supertrend SELL,MEDIUM,44,30.3,44.5,0.56,62.8,7.73,3.57,-27.0,-23.5,-3.37,-14.32,,,,,HOLD,2,Good fundamentals (62/100). Very expensive valuation. Weak price trend. Medium risk (score 44/100). Analysts see 29% upside
TITAN.NS,TITAN,STOCK,Unknown,,4106.6,1.7,364274.0,58.8,76.3,28.44,,223.0,27.0,43.3,60.8,,4378.4,2925.0,-6.2,4793.5835,16.7,50.12500000000001,VERY_EXPENSIVE,"PE: very expensive, PB: very expensive",WEAK,45.7,4183.83,4384.25,SELL,HOLD,0,Momentum rising | MACD negative | Price below VWAP (4184) | Supertrend SELL,LOW,31,20.8,74.1,1.7,24.8,8.75,2.44,-10.3,-5.4,-1.41,8.79,,,,,HOLD,2,Average fundamentals (50/100). Very expensive valuation. Weak price trend. Low risk (score 31/100). Analysts see 17% upside
NETWEB.NS,NETWEB,STOCK,Unknown,,3284.4,1.05,18718.2,70.6,104.2,32.15,,3.1,8.0,141.0,140.5,,4479.0,1251.55,-26.7,3863.0,17.6,66.37500000000001,VERY_EXPENSIVE,"PE: very expensive, PB: very expensive",WEAK,48.4,3511.92,3675.1,SELL,HOLD,0,Momentum rising | MACD negative | Price below VWAP (3512) | Supertrend SELL,MEDIUM,54,49.4,47.8,1.05,35.0,24.01,5.09,-30.6,-24.7,-0.05,11.93,,,,,HOLD,2,Good fundamentals (66/100). Very expensive valuation. Weak price trend. Medium risk (score 54/100). Analysts see 18% upside
ABB.NS,ABB,STOCK,Unknown,,6297.0,1.34,133446.4,75.3,80.0,17.03,22.4,1.1,63.0,5.7,-18.0,877.9,6554.0,4637.5,-3.9,6022.0386,-4.4,52.08333333333334,VERY_EXPENSIVE,"PE: very expensive, PB: very expensive",BULLISH,60.1,6099.07,5829.05,BUY,HOLD,1,Price above VWAP (6099) | Supertrend BUY | MACD negative,MEDIUM,49,34.3,90.4,1.34,73.7,10.79,3.01,-24.4,-1.7,11.22,15.91,728.69,-88.4,10.0,4.5,HOLD,2,Average fundamentals (52/100). Very expensive valuation. Bullish trend. Medium risk (score 49/100)
TMCV.NS,TMCV,ETF,ETF/Index,,419.65,,,,,,,,,,,,509.0,306.3,-17.6,,,,N/A,ETF — no valuation scoring,NEUTRAL,37.8,461.81,491.31,SELL,SELL,-3,MACD negative | Price below VWAP (462) | Supertrend SELL,HIGH,69,46.6,100.0,0.58,9.1,21.82,4.86,-17.4,-17.0,-8.35,,,,,,HOLD,2,Sideways trend — hold existing position
APOLLOHOSP.NS,APOLLOHOSP,STOCK,Unknown,,7364.5,1.55,105890.2,28.4,58.8,11.64,,83.6,27.0,17.2,35.0,,8099.5,6430.25,-9.1,8799.167,19.5,48.37500000000001,VERY_EXPENSIVE,"PE: very expensive, PB: very expensive",WEAK,41.8,7633.84,7833.1,SELL,HOLD,0,Momentum rising | MACD negative | Price below VWAP (7634) | Supertrend SELL,LOW,34,17.5,46.1,1.55,5.6,8.17,2.28,-15.2,-8.0,-0.04,-0.6,113.19,-98.5,8.5,-1.5,HOLD,2,Average fundamentals (48/100). Very expensive valuation. Weak price trend. Low risk (score 34/100). Analysts see 19% upside
BSE.NS,BSE,STOCK,Unknown,,2806.1,-3.07,113963.9,0.0,52.9,18.1,,,21.0,48.6,170.9,,3227.0,1484.3334,-13.0,3114.6191,11.0,79.37500000000001,VERY_EXPENSIVE,"PE: very expensive, PB: very expensive",NEUTRAL,48.5,2794.63,2684.69,BUY,HOLD,0,MACD positive | Price above VWAP (2795) | Supertrend BUY | Momentum falling,MEDIUM,38,37.6,33.3,-3.07,52.6,13.15,3.74,-32.1,-11.7,-0.43,7.7,325.13,-88.4,10.0,35.0,HOLD,2,Strong fundamentals (79/100). Very expensive valuation. Medium risk (score 38/100)
CDSL.NS,CDSL,STOCK,Unknown,,1190.8,-0.28,24887.7,0.0,52.4,14.28,,0.1,105.0,11.9,2.4,,1828.9,1079.9,-34.9,1380.7858,16.0,67.37500000000001,VERY_EXPENSIVE,"PE: very expensive, PB: very expensive",BEARISH,38.5,1235.69,1300.24,SELL,HOLD,-1,MACD positive | Price below VWAP (1236) | Supertrend SELL,MEDIUM,53,31.4,58.3,-0.28,24.5,16.26,3.19,-34.3,-33.5,-9.48,-21.68,359.64,-69.8,10.0,9.6,HOLD,2,Good fundamentals (67/100). Very expensive valuation. Bearish trend. Medium risk (score 53/100). Analysts see 16% upside
CHOLAFIN.NS,CHOLAFIN,STOCK,Unknown,,1440.5,-1.0,122736.0,49.4,25.1,4.67,,724.3,14.0,19.6,18.1,,1831.5,1358.65,-21.3,1811.5294,25.8,48.33333333333334,EXPENSIVE,"PE: expensive, PB: expensive",BEARISH,26.3,1617.57,1635.45,SELL,HOLD,-2,RSI oversold | MACD negative | Price below VWAP (1618) | Supertrend SELL,MEDIUM,62,31.2,61.8,-1.0,5.5,24.03,3.85,-20.2,-20.2,-13.26,-11.05,,,,,HOLD,2,Average fundamentals (48/100). Expensively valued. Bearish trend. Medium risk (score 62/100). Analysts see 26% upside
