symbol,name,market_cap,last_price,avg_daily_volume_value,sector,industry,red_flag_status,red_flag_reasons,tech_trend,tech_momentum,tech_volume,tech_relative_strength,technical_score,tech_data_coverage
CIPLA.NS,Cipla Limited,1067158994944,1321.1,1969124676.0924194,Healthcare,Drug Manufacturers - Specialty & Generic,PASS,,35.0,50.0,16.666666666666668,100.0,45.58333333333334,1.0
HEROMOTOCO.NS,Hero MotoCorp Limited,1040666918912,5201.0,2640875954.989518,Consumer Cyclical,Auto Manufacturers,PASS,,35.0,50.0,16.666666666666668,100.0,45.58333333333334,1.0
RSYSTEMS.NS,R Systems International Limited,32244998144,271.9,1383389697.7055767,Technology,Information Technology Services,PASS,,30.0,40.0,40.0,100.0,45.50000000000001,1.0
METROPOLIS.NS,Metropolis Healthcare Limited,94064615424,1814.8,90211446.05144043,Healthcare,Diagnostics & Research,PASS,,22.5,55.0,30.0,100.0,45.37500000000001,1.0
IGPL.NS,IG Petrochemicals Limited,10380128256,336.65,9888978.743130494,Basic Materials,Chemicals,PASS,,30.0,55.0,16.666666666666668,100.0,45.33333333333334,1.0
ROSSTECH.NS,Rossell Techsys Limited,25108905984,663.55,107393459.60291748,Industrials,Aerospace & Defense,PASS,,45.0,37.5,16.666666666666668,100.0,45.33333333333334,1.0
SHILPAMED.NS,Shilpa Medicare Limited,61647204352,315.15,161487018.9389038,Healthcare,Drug Manufacturers - Specialty & Generic,PASS,,30.0,55.0,16.666666666666668,100.0,45.33333333333334,1.0
SUZLON.NS,Suzlon Energy Limited,569573638144,41.53,2738143474.4047265,Industrials,Specialty Industrial Machinery,PASS,,35.0,40.0,30.0,100.0,45.25000000000001,1.0
SYMPHONY.NS,Symphony Limited,54782607360,797.75,131965994.36824341,Consumer Cyclical,"Furnishings, Fixtures & Appliances",PASS,,35.0,40.0,30.0,100.0,45.25000000000001,1.0
UNITDSPR.NS,United Spirits Limited,954350370816,1312.0,1001714277.7449992,Consumer Defensive,Beverages - Wineries & Distilleries,PASS,,25.0,45.0,40.0,100.0,45.25,1.0
SANDHAR.NS,Sandhar Technologies Limited,29160400896,483.5,102981012.9190043,Consumer Cyclical,Auto Parts,PASS,,25.0,45.0,40.0,100.0,45.25,1.0
