symbol,name,market_cap,last_price,avg_daily_volume_value,sector,industry,red_flag_status,red_flag_reasons,fund_profitability,fund_growth,fund_valuation,fund_financial_health,fund_dividend,fundamental_score,fund_data_coverage,roe,pe_ratio,debt_to_equity,operating_margin,technical_score,tech_data_coverage,tech_trend,tech_momentum,tech_volume,tech_relative_strength,composite_score_raw,l_category,sector_preference_mult,composite_score,composite_rank,fundamental_rank,technical_rank,data_quality
KOPRAN.NS,Kopran Limited,5708324352,118.22,23257980.000782777,Healthcare,Drug Manufacturers - General,PASS,,32.5,30.0,30.0,55.0,50.0,37.62500000000001,1.0,,34.56725,31.299,0.081420004,40.50000000000001,1.0,20.0,55.0,30.0,73.33333333333333,38.20000000000001,L1,1.02,38.96400000000001,976,964,720,HIGH
63MOONS.NS,63 moons technologies limited,24489902080,531.45,141021107.5567912,Technology,Software - Application,PASS,,2.5,40.0,80.0,40.0,75.0,42.12500000000001,1.0,,,0.148,-2.67391,40.083333333333336,1.0,18.333333333333332,40.0,53.33333333333333,73.33333333333333,41.716666666666676,L2,0.93,38.79650000000001,977,891,738,HIGH
NRAIL.NS,N R Agarwal Industries Limited,7148021760,420.0,3052767.9026102703,Basic Materials,Paper & Paper Products,PASS,,27.5,38.0,37.5,20.0,60.0,33.87500000000001,1.0,,31.555222,92.625,0.07111,52.58333333333334,1.0,41.66666666666667,60.0,30.0,93.33333333333334,37.616666666666674,L3,1.03,38.74516666666668,978,1013,289,HIGH
GOPAL.NS,Gopal Snacks Limited,34041483264,273.1,28967868.944810994,Consumer Defensive,Packaged Foods,PASS,,22.5,36.0,12.5,80.0,60.0,39.12500000000001,1.0,,827.57574,14.964,0.05,37.16666666666667,1.0,21.666666666666664,37.5,36.666666666666664,73.33333333333333,38.73333333333334,L1,1.0,38.73333333333334,979,935,888,HIGH
GREENPANEL.NS,Greenpanel Industries Limited,23812839424,194.07,26632981.258735146,Basic Materials,Lumber & Wood Production,PASS,,12.5,32.0,30.0,70.0,60.0,37.12500000000001,1.0,,,30.888,0.03712,39.16666666666667,1.0,35.0,37.5,23.333333333333336,73.33333333333333,37.53333333333334,L3,1.03,38.659333333333336,980,969,786,HIGH
SUDARSCHEM.NS,Sudarshan Chemical Industries Limited,63876128768,812.55,82194928.08909708,Basic Materials,Specialty Chemicals,PASS,,12.5,47.5,40.0,35.0,60.0,36.00000000000001,1.0,,,64.493,-0.022349998,43.25000000000001,1.0,18.333333333333332,55.0,46.66666666666667,73.33333333333333,37.45000000000001,L3,1.03,38.57350000000001,981,987,585,HIGH
PRINCEPIPE.NS,Prince Pipes And Fittings Limited,26412570624,238.85,61722401.808358766,Industrials,Building Products & Equipment,PASS,,17.5,7.5,30.0,80.0,60.0,34.25000000000001,1.0,,60.93112,14.911,-0.00988,38.16666666666667,1.0,18.333333333333332,42.5,40.0,73.33333333333333,35.03333333333334,L2,1.1,38.536666666666676,982,1009,840,HIGH
GMMPFAUDLR.NS,GMM Pfaudler Limited,38546518016,856.9,82419802.29772542,Industrials,Specialty Industrial Machinery,PASS,,32.5,30.0,23.333333333333336,35.0,70.0,34.29166666666667,1.0,,217.48732,89.639,0.07688,38.00000000000001,1.0,31.666666666666664,37.5,23.333333333333336,73.33333333333333,35.03333333333334,L2,1.1,38.536666666666676,982,1008,845,HIGH
HFCL.NS,HFCL Limited,108888137728,71.16,1377512864.4641,Technology,Communication Equipment,PASS,,32.5,36.0,17.5,45.0,75.0,37.12500000000001,1.0,,197.66667,41.391,0.15224,58.66666666666668,1.0,56.66666666666667,55.0,46.66666666666667,86.66666666666666,41.433333333333344,L2,0.93,38.533000000000015,984,969,181,HIGH
PINELABS.NS,Pine Labs Limited,188857008128,164.47,261779936.28602245,Technology,Software - Infrastructure,PASS,,27.5,86.66666666666666,10.0,30.0,50.0,41.54166666666667,1.0,,783.1905,23.128,0.08708999,40.54166666666667,1.0,47.5,27.5,23.333333333333336,73.33333333333333,41.341666666666676,L2,0.93,38.44775000000001,985,898,719,HIGH
QUICKHEAL.NS,Quick Heal Technologies Limited,7850781696,144.76,53627820.73297729,Technology,Software - Application,PASS,,12.5,30.0,57.5,70.0,50.0,41.125000000000014,1.0,,143.32672,,-0.04389,42.08333333333334,1.0,28.333333333333336,35.0,53.33333333333333,73.33333333333333,41.316666666666684,L2,0.93,38.424500000000016,986,907,632,HIGH
ANDHRAPAP.NS,ANDHRA PAPER LIMITED,12010552320,60.4,11887823.912084706,Basic Materials,Paper & Paper Products,PASS,,12.5,22.0,36.666666666666664,80.0,50.0,36.95833333333334,1.0,,64.25532,13.63,-0.02864,38.333333333333336,1.0,25.0,37.5,36.666666666666664,73.33333333333333,37.23333333333335,L3,1.03,38.35033333333335,987,973,827,HIGH
GODAVARIB.NS,Godavari Biorefineries Limited,16217666560,316.9,205324580.9590566,Basic Materials,Chemicals,PASS,,22.5,37.5,22.5,10.0,50.0,26.500000000000004,1.0,,46.26277,67.931,0.06421,80.16666666666667,1.0,78.33333333333333,72.5,80.0,100.0,37.233333333333334,L3,1.03,38.35033333333334,988,1068,7,HIGH
JISLJALEQS.NS,Jain Irrigation Systems Limited,22129711104,30.17,128378676.50640297,Industrials,Conglomerates,PASS,,32.5,35.0,43.33333333333333,20.0,50.0,34.54166666666667,1.0,,125.708336,68.821,0.06353,36.0,1.0,18.333333333333332,37.5,36.666666666666664,73.33333333333333,34.83333333333334,L2,1.1,38.31666666666668,989,1003,939,HIGH
SFL.NS,Sheela Foam Limited,56094760960,516.0,56493687.442681886,Consumer Cyclical,"Furnishings, Fixtures & Appliances",PASS,,27.5,44.0,37.5,30.0,50.0,36.37500000000001,1.0,,63.7037,40.731,0.06241,33.41666666666667,1.0,26.666666666666664,32.5,16.666666666666668,73.33333333333333,35.783333333333346,L2,1.07,38.28816666666668,990,981,1029,HIGH
ADANIENSOL.NS,Adani Energy Solutions Limited,1215418990592,1009.9,1345805973.1863587,Utilities,Utilities - Independent Power Producers,PASS,,62.5,38.0,16.666666666666668,10.0,50.0,35.45833333333334,1.0,,54.354145,186.654,0.27335,75.08333333333334,1.0,78.33333333333333,60.0,73.33333333333333,100.0,43.38333333333334,L3,0.88,38.17733333333334,991,991,29,HIGH
BAJEL.NS,Bajel Projects Limited,18877548544,163.0,492194487.0002299,Utilities,Utilities - Regulated Electric,PASS,,22.5,70.0,23.333333333333336,40.0,50.0,40.79166666666667,1.0,,171.57895,15.984,0.03903,53.41666666666667,1.0,48.33333333333333,55.0,40.0,80.0,43.31666666666668,L3,0.88,38.11866666666668,992,913,261,HIGH
PFOCUS.NS,Prime Focus Limited,214677782528,276.65,1498417299.111374,Communication Services,Entertainment,PASS,,32.5,56.66666666666667,10.0,0.0,50.0,29.29166666666667,1.0,,,246.44,0.1883,79.08333333333334,1.0,71.66666666666667,70.0,90.0,100.0,39.25000000000001,L3,0.97,38.072500000000005,993,1053,9,HIGH
KOLTEPATIL.NS,Kolte - Patil Developers Limited,28789993472,324.65,32865093.166301474,Real Estate,Real Estate - Development,PASS,,37.5,48.0,16.666666666666668,45.0,50.0,38.70833333333334,1.0,,55.21258,86.31,0.01549,40.75,1.0,25.0,50.0,30.0,73.33333333333333,39.116666666666674,L2,0.97,37.94316666666667,994,948,702,HIGH
UFLEX.NS,UFLEX Limited,31485861888,434.7,15572570.98236389,Consumer Cyclical,Packaging & Containers,PASS,,27.5,30.0,56.66666666666667,10.0,60.0,33.70833333333334,1.0,,10.834995,120.69,0.06702,41.833333333333336,1.0,25.0,42.5,46.66666666666667,73.33333333333333,35.33333333333334,L3,1.07,37.80666666666668,995,1017,649,HIGH
KABRAEXTRU.NS,Kabra Extrusion Technik Limited,7307573760,208.95,15097653.005082702,Industrials,Specialty Industrial Machinery,PASS,,12.5,27.5,30.0,55.0,75.0,34.50000000000001,1.0,,18.12229,32.04,-0.06001,33.58333333333334,1.0,20.0,37.5,16.666666666666668,80.0,34.31666666666668,L2,1.1,37.74833333333335,996,1006,1027,HIGH
RAMCOCEM.NS,The Ramco Cements Limited,218617708544,925.2,226112639.79668579,Basic Materials,Building Materials,PASS,,32.5,48.0,32.5,20.0,60.0,36.62500000000001,1.0,,38.027126,62.153,0.04506,36.50000000000001,1.0,23.333333333333336,30.0,36.666666666666664,80.0,36.60000000000001,L3,1.03,37.69800000000001,997,979,922,HIGH
SUKHJITS.NS,Sukhjit Starch & Chemicals Limited,5079649792,162.58,7418446.425680033,Basic Materials,Specialty Chemicals,PASS,,27.5,18.0,36.666666666666664,35.0,75.0,33.208333333333336,1.0,,33.315575,74.457,0.030199999,49.75000000000001,1.0,25.0,70.0,40.0,80.0,36.51666666666667,L3,1.03,37.612166666666674,998,1022,352,HIGH
STOVEKRAFT.NS,Stove Kraft Limited,16512275456,498.75,258752314.49278668,Consumer Cyclical,"Furnishings, Fixtures & Appliances",PASS,,27.5,24.0,23.333333333333336,45.0,75.0,34.04166666666667,1.0,,44.05919,52.576,0.035469998,39.08333333333334,1.0,30.0,47.5,16.666666666666668,73.33333333333333,35.050000000000004,L2,1.07,37.50350000000001,999,1011,792,HIGH
SWSOLAR.NS,Sterling and Wilson Renewable Energy Limited,40108175360,171.65,331889211.7201472,Technology,Solar,PASS,,22.5,80.0,20.0,25.0,50.0,39.62500000000001,1.0,,,266.51,0.03063,42.91666666666667,1.0,21.666666666666664,50.0,46.66666666666667,73.33333333333333,40.28333333333334,L3,0.93,37.4635,1000,926,599,HIGH
MOL.NS,Meghmani Organics Limited,10842244096,42.62,34501506.04303322,Basic Materials,Agricultural Inputs,PASS,,22.5,36.666666666666664,50.0,30.0,50.0,35.79166666666667,1.0,,26.80503,54.599,0.01534,38.41666666666667,1.0,18.333333333333332,50.0,30.0,73.33333333333333,36.31666666666668,L3,1.03,37.40616666666668,1001,990,818,HIGH
