symbol,name,type,sector,industry,cmp,change_pct,market_cap_cr,promoter_holding_pct,pe_ratio,pb_ratio,roe_pct,debt_to_equity,dividend_yield_pct,revenue_growth_pct,earnings_growth_pct,fcf_cr,52w_high,52w_low,pct_from_52w_high,target_price,analyst_upside_pct,fundamental_score,valuation_grade,valuation_detail,trend,rsi,vwap,supertrend,supertrend_signal,signal,signal_strength,signal_details,risk_level,risk_score,volatility_ann,volatility_percentile,daily_return_pct,bb_pct_b,bb_width_pct,atr_pct,max_drawdown_pct,current_drawdown_pct,ma50_deviation_pct,ma200_deviation_pct,intrinsic_value,dcf_upside_pct,wacc_used,fcf_growth_used,recommendation,recommendation_rank,rationale
M&M.NS,M&M,STOCK,Unknown,,3074.6,0.96,369097.4,25.3,22.0,4.14,,132.3,83.0,26.4,46.8,,3839.9,2425.0,-19.9,4325.0,40.7,52.62500000000001,FAIR,"PE: fair, PB: expensive",BEARISH,39.6,3195.52,3334.4,SELL,HOLD,0,Momentum rising | MACD negative | Price below VWAP (3196) | Supertrend SELL,MEDIUM,55,44.5,99.6,0.83,23.3,20.49,3.52,-22.9,-19.2,-10.65,-10.46,,,,,ACCUMULATE,1,Average fundamentals (53/100). Fairly valued. Bearish trend. Medium risk (score 55/100). Analysts see 41% upside
NAUKRI.NS,NAUKRI,STOCK,Unknown,,983.6,1.34,63688.1,47.4,47.4,1.31,,0.5,99.0,13.4,12.3,,1550.0,930.5,-36.5,1435.2382,45.9,63.375000000000014,FAIR,"PE: very expensive, PB: cheap",BEARISH,37.5,1003.74,1028.53,SELL,HOLD,-1,MACD positive | Price below VWAP (1004) | Supertrend SELL,MEDIUM,62,32.4,78.9,1.3,40.5,15.23,3.54,-37.7,-35.5,-13.83,-25.4,221.74,-77.5,10.0,7.9,ACCUMULATE,1,Good fundamentals (63/100). Fairly valued. Bearish trend. Medium risk (score 62/100). Analysts see 46% upside
RATEGAIN.NS,RATEGAIN,STOCK,Unknown,,481.7,-0.86,5686.8,50.4,31.7,3.13,,0.8,,93.8,-52.8,,741.6,412.85,-35.0,719.875,49.4,58.45833333333334,FAIR,"PE: expensive, PB: fair",BEARISH,39.0,502.48,539.85,SELL,HOLD,-1,MACD positive | Price below VWAP (502) | Supertrend SELL,HIGH,72,50.4,87.7,-0.86,27.5,16.49,5.12,-35.0,-33.3,-15.45,-16.52,420.74,-12.7,11.0,35.0,ACCUMULATE,1,Good fundamentals (58/100). Fairly valued. Bearish trend. High risk (score 72/100). Analysts see 49% upside
RELIANCE.NS,RELIANCE,STOCK,Unknown,,1415.6,2.22,1915656.7,51.0,23.0,2.18,,35.7,40.0,10.4,0.6,,1611.8,1114.85,-12.2,1717.1111,21.3,44.37500000000001,FAIR,"PE: fair, PB: fair",WEAK,51.5,1392.77,1424.64,SELL,HOLD,1,MACD positive | Price above VWAP (1393) | Supertrend SELL,LOW,31,23.9,87.3,2.14,70.6,5.96,2.34,-15.5,-11.2,-0.22,-2.2,1355.12,-4.3,9.1,32.9,ACCUMULATE,1,Average fundamentals (44/100). Fairly valued. Weak price trend. Low risk (score 31/100). Analysts see 21% upside
LENSKART.NS,LENSKART,STOCK,Unknown,,524.1,4.49,90624.0,58.3,153.7,13.82,,44.2,,38.3,7600.0,,543.05,356.1,-3.5,546.8667,4.3,56.000000000000014,VERY_EXPENSIVE,"PE: very expensive, PB: very expensive",BULLISH,60.2,509.15,466.23,BUY,BUY,4,Momentum rising | Price above VWAP (509) | Supertrend BUY,MEDIUM,45,35.7,33.8,4.49,77.7,11.05,4.42,-9.4,-2.5,9.54,,,,,,HOLD,2,Good fundamentals (56/100). Very expensive valuation. Bullish trend. Medium risk (score 45/100)
KEI.NS,KEI,STOCK,Unknown,,4185.0,-0.66,40008.8,36.0,46.4,6.46,,3.8,11.0,19.8,37.5,,5303.0,2424.0,-21.1,4800.391,14.7,57.125000000000014,EXPENSIVE,"PE: very expensive, PB: expensive",WEAK,38.0,4693.74,4799.55,SELL,SELL,-3,MACD negative | Price below VWAP (4694) | Supertrend SELL,MEDIUM,62,45.5,98.7,-0.66,17.4,29.75,4.37,-20.1,-19.6,-5.66,1.61,,,,,HOLD,2,Good fundamentals (57/100). Expensively valued. Weak price trend. Medium risk (score 62/100)
NETWEB.NS,NETWEB,STOCK,Unknown,,3280.0,0.91,18693.2,70.6,138.2,32.1,,3.1,8.0,141.0,140.5,,4479.0,1251.55,-26.8,3863.0,17.8,66.37500000000001,VERY_EXPENSIVE,"PE: very expensive, PB: very expensive",WEAK,48.1,3511.91,3675.1,SELL,HOLD,0,Momentum rising | MACD negative | Price below VWAP (3512) | Supertrend SELL,MEDIUM,54,49.3,47.8,0.91,34.5,24.03,5.1,-30.6,-24.8,-0.18,11.78,,,,,HOLD,2,Good fundamentals (66/100). Very expensive valuation. Weak price trend. Medium risk (score 54/100). Analysts see 18% upside
PERSISTENT.NS,PERSISTENT,STOCK,Unknown,,4716.0,2.46,73742.2,32.0,42.5,9.48,25.0,5.5,96.0,23.4,16.8,1807.8,6599.0,4148.95,-28.5,6370.5293,35.1,65.41666666666667,EXPENSIVE,"PE: expensive, PB: very expensive",BEARISH,39.2,4777.29,5142.58,SELL,HOLD,-1,MACD positive | Price below VWAP (4777) | Supertrend SELL,MEDIUM,58,38.9,92.5,2.48,46.4,10.35,4.28,-30.7,-27.9,-14.41,-16.79,1933.83,-59.0,9.8,22.3,HOLD,2,Good fundamentals (65/100). Expensively valued. Bearish trend. Medium risk (score 58/100). Analysts see 35% upside
POLICYBZR.NS,POLICYBZR,STOCK,Unknown,,1494.6,0.4,69229.2,26.0,119.5,10.13,,4.9,,37.1,163.2,,1978.0,1364.0,-24.4,1938.0834,29.7,61.875000000000014,VERY_EXPENSIVE,"PE: very expensive, PB: very expensive",WEAK,48.4,1481.34,1556.63,SELL,HOLD,1,MACD positive | Price above VWAP (1481) | Supertrend SELL,MEDIUM,44,30.3,44.1,0.4,60.8,7.72,3.58,-27.0,-23.6,-3.53,-14.46,,,,,HOLD,2,Good fundamentals (62/100). Very expensive valuation. Weak price trend. Medium risk (score 44/100). Analysts see 30% upside
MAZDOCK.NS,MAZDOCK,STOCK,Unknown,,2327.4,-1.44,93882.7,81.2,39.0,10.54,,0.0,81.0,14.6,9.0,,3775.0,2125.9,-38.3,2768.1667,18.9,64.37500000000001,EXPENSIVE,"PE: expensive, PB: very expensive",BEARISH,47.1,2383.59,2161.24,BUY,HOLD,-2,MACD positive | Supertrend BUY | Momentum falling | Price below VWAP (2384),MEDIUM,56,51.7,84.2,-1.44,47.5,15.52,4.26,-41.9,-37.6,-2.45,-14.23,597.39,-74.3,10.0,9.0,HOLD,2,Good fundamentals (64/100). Expensively valued. Bearish trend. Medium risk (score 56/100). Analysts see 19% upside
TITAN.NS,TITAN,STOCK,Unknown,,4107.6,1.73,364362.7,58.8,76.5,28.45,,223.0,27.0,43.3,60.8,,4378.4,2925.0,-6.2,4793.5835,16.7,50.12500000000001,VERY_EXPENSIVE,"PE: very expensive, PB: very expensive",WEAK,45.8,4183.86,4384.25,SELL,HOLD,0,Momentum rising | MACD negative | Price below VWAP (4184) | Supertrend SELL,LOW,31,20.8,74.1,1.73,25.0,8.75,2.44,-10.3,-5.4,-1.39,8.81,,,,,HOLD,2,Average fundamentals (50/100). Very expensive valuation. Weak price trend. Low risk (score 31/100). Analysts see 17% upside
ABB.NS,ABB,STOCK,Unknown,,6300.0,1.38,133510.0,75.3,79.8,17.03,22.4,1.1,63.0,5.7,-18.0,877.9,6554.0,4637.5,-3.9,6022.0386,-4.4,52.08333333333334,VERY_EXPENSIVE,"PE: very expensive, PB: very expensive",BULLISH,60.2,6099.08,5829.05,BUY,HOLD,1,Price above VWAP (6099) | Supertrend BUY | MACD negative,MEDIUM,49,34.4,90.4,1.38,74.1,10.79,3.01,-24.4,-1.7,11.28,15.96,728.69,-88.4,10.0,4.5,HOLD,2,Average fundamentals (52/100). Very expensive valuation. Bullish trend. Medium risk (score 49/100)
CDSL.NS,CDSL,STOCK,Unknown,,1191.6,-0.22,24904.4,0.0,52.2,14.29,,0.1,105.0,11.9,2.4,,1828.9,1079.9,-34.8,1380.7858,15.9,67.37500000000001,VERY_EXPENSIVE,"PE: very expensive, PB: very expensive",BEARISH,38.6,1235.72,1300.24,SELL,HOLD,-1,MACD positive | Price below VWAP (1236) | Supertrend SELL,MEDIUM,53,31.4,58.8,-0.22,24.9,16.25,3.19,-34.3,-33.4,-9.42,-21.63,359.64,-69.8,10.0,9.6,HOLD,2,Good fundamentals (67/100). Very expensive valuation. Bearish trend. Medium risk (score 53/100). Analysts see 16% upside
AFFLE.NS,AFFLE,STOCK,Unknown,,1280.0,-1.58,18000.8,60.1,41.0,5.51,,1.2,,19.2,18.9,,2185.9,1246.0,-41.4,2010.0,57.0,61.625000000000014,EXPENSIVE,"PE: expensive, PB: expensive",BEARISH,33.5,1365.74,1455.84,SELL,SELL,-7,Momentum falling | MACD bearish crossover | MACD negative | Price below VWAP (1366) | Supertrend SELL,HIGH,88,44.9,99.6,-1.58,10.6,16.6,4.3,-40.4,-40.4,-16.31,-28.61,541.59,-57.7,11.0,23.1,HOLD,2,Good fundamentals (62/100). Expensively valued. Bearish trend. High risk (score 88/100). Analysts see 57% upside
APOLLOHOSP.NS,APOLLOHOSP,STOCK,Unknown,,7334.0,1.13,105451.7,28.4,58.5,11.6,,83.6,28.0,17.2,35.0,,8099.5,6430.25,-9.5,8799.167,20.0,48.37500000000001,VERY_EXPENSIVE,"PE: very expensive, PB: very expensive",WEAK,39.9,7633.04,7833.1,SELL,HOLD,0,Momentum rising | MACD negative | Price below VWAP (7633) | Supertrend SELL,LOW,34,17.0,44.7,1.13,1.9,8.32,2.29,-15.2,-8.3,-0.44,-1.01,113.19,-98.5,8.5,-1.5,HOLD,2,Average fundamentals (48/100). Very expensive valuation. Weak price trend. Low risk (score 34/100). Analysts see 20% upside
BHARTIARTL.NS,BHARTIARTL,STOCK,Unknown,,1843.8,0.92,1123145.6,48.0,36.4,9.0,23.1,117.1,88.0,19.6,-55.3,46825.5,2174.5,1660.0,-15.2,2351.4688,27.5,52.91666666666668,EXPENSIVE,"PE: expensive, PB: very expensive",BEARISH,41.1,1868.06,1927.22,SELL,HOLD,1,MACD bullish crossover | MACD positive | Price below VWAP (1868) | Supertrend SELL,LOW,34,22.9,85.5,0.94,37.1,12.21,2.28,-17.3,-14.7,-5.65,-6.63,1041.66,-43.5,8.2,-5.0,HOLD,2,Average fundamentals (53/100). Expensively valued. Bearish trend. Low risk (score 34/100). Analysts see 28% upside
BSE.NS,BSE,STOCK,Unknown,,2802.0,-3.21,113797.4,0.0,52.9,18.08,,,21.0,48.6,170.9,,3227.0,1484.3334,-13.2,3114.6191,11.2,79.37500000000001,VERY_EXPENSIVE,"PE: very expensive, PB: very expensive",WEAK,48.3,2794.54,2684.69,BUY,HOLD,0,MACD positive | Price above VWAP (2795) | Supertrend BUY | Momentum falling,MEDIUM,38,37.8,35.1,-3.21,51.6,13.15,3.75,-32.1,-11.8,-0.57,7.54,325.13,-88.4,10.0,35.0,HOLD,2,Strong fundamentals (79/100). Very expensive valuation. Weak price trend. Medium risk (score 38/100)
INDHOTEL.NS,INDHOTEL,STOCK,Unknown,,615.45,0.29,87605.1,39.4,43.6,7.57,,25.0,37.0,11.9,55.3,,858.0,595.0,-28.3,822.1539,33.6,69.62500000000001,EXPENSIVE,"PE: expensive, PB: expensive",BEARISH,38.2,637.3,658.17,SELL,HOLD,0,Momentum rising | MACD negative | Price below VWAP (637) | Supertrend SELL,MEDIUM,46,28.3,85.5,0.38,26.0,15.73,3.09,-27.4,-26.6,-7.32,-15.2,406.73,-33.9,9.3,35.0,HOLD,2,Good fundamentals (70/100). Expensively valued. Bearish trend. Medium risk (score 46/100). Analysts see 34% upside
CHOLAFIN.NS,CHOLAFIN,STOCK,Unknown,,1438.6,-1.13,122574.1,49.4,25.0,4.67,,724.3,14.0,19.6,18.1,,1831.5,1358.65,-21.5,1811.5294,25.9,48.33333333333334,EXPENSIVE,"PE: expensive, PB: expensive",BEARISH,26.1,1617.55,1635.45,SELL,HOLD,-2,RSI oversold | MACD negative | Price below VWAP (1618) | Supertrend SELL,MEDIUM,62,31.2,61.8,-1.13,5.1,24.07,3.85,-20.3,-20.3,-13.37,-11.17,,,,,HOLD,2,Average fundamentals (48/100). Expensively valued. Bearish trend. Medium risk (score 62/100). Analysts see 26% upside
