symbol,name,sector,cmp,intrinsicValue,dcfPerShare,weightedDcfPerShare,relativeValue,upside,marginOfSafety,mosZone,verdict,wacc,costOfEquity,beta,dcfBear,dcfBull
HAL,Hindustan Aeronautics Limited,Industrials,3914.4,2850.47,2495.16,2461.51,3239.43,-27.2,-37.3,Sell,Overvalued,10.0,10.0,0.5,1860.92,2994.82
TATAELXSI,Tata Elxsi Limited,Technology,4255.0,3091.3,2496.85,2464.14,3718.46,-27.3,-37.6,Sell,Overvalued,10.0,10.0,0.5,1895.31,2967.54
TITAGARH,Titagarh Rail Systems Limited,Industrials,639.4,462.81,383.75,375.82,549.8,-27.6,-38.2,Sell,Overvalued,9.7,10.0,0.5,269.06,466.73
KAJARIACER,Kajaria Ceramics Limited,Industrials,910.15,658.18,538.84,530.75,785.61,-27.7,-38.3,Sell,Overvalued,9.9,10.0,0.5,369.37,675.95
TTML,Tata Teleservices (Maharashtra) Limited,Communication Services,38.24,27.63,0.0,0.0,27.63,-27.7,-38.4,Sell,Overvalued,7.2,10.0,0.5,0.0,0.0
HAVELLS,Havells India Limited,Industrials,1310.2,945.96,798.43,791.97,1099.95,-27.8,-38.5,Sell,Overvalued,10.0,10.0,0.5,393.46,1177.55
KIRLOSBROS,Kirloskar Brothers Limited,Industrials,1520.2,1094.7,892.69,877.61,1311.79,-28.0,-38.9,Sell,Overvalued,9.9,10.0,0.5,610.9,1114.16
ASIANPAINT,Asian Paints Limited,Basic Materials,2196.8,1579.51,1233.22,1215.48,1943.55,-28.1,-39.1,Sell,Overvalued,9.9,10.0,0.5,866.21,1529.27
DMART,Avenue Supermarts Limited,Consumer Defensive,3834.3,2755.86,2189.46,2164.68,3347.04,-28.1,-39.1,Sell,Overvalued,10.0,10.0,0.5,933.3,3346.52
NEULANDLAB,Neuland Laboratories Limited,Healthcare,12152.0,8731.58,7660.8,7519.53,9943.62,-28.1,-39.2,Sell,Overvalued,9.9,10.0,0.5,4929.99,9826.55
ASTERDM,Aster DM Healthcare Limited,Healthcare,666.95,476.7,396.5,392.1,561.3,-28.5,-39.9,Sell,Overvalued,9.6,10.0,0.5,242.05,533.35
BRITANNIA,Britannia Industries Limited,Consumer Defensive,5808.5,4150.98,3344.0,3297.89,5004.06,-28.5,-39.9,Sell,Overvalued,10.1,10.2,0.53,2240.24,4263.31
DIVISLAB,Divi's Laboratories Limited,Healthcare,6071.0,4338.8,3521.69,3478.8,5198.79,-28.5,-39.9,Sell,Overvalued,10.0,10.0,0.5,2505.75,4366.07
UBL,United Breweries Limited,Consumer Defensive,1642.7,1168.68,912.92,896.27,1441.09,-28.9,-40.6,Sell,Overvalued,9.9,10.0,0.5,547.21,1212.05
POLYMED,Poly Medicure Limited,Healthcare,1260.2,893.84,748.32,742.7,1044.97,-29.1,-41.0,Sell,Overvalued,9.9,10.0,0.5,488.1,986.06
AEGISLOG,AEGIS LOGISTICS LIMITED,Energy,601.9,424.22,301.73,297.06,551.37,-29.5,-41.9,Sell,Overvalued,9.7,10.2,0.54,192.31,392.46
BIKAJI,Bikaji Foods International Limited,Consumer Defensive,603.45,423.56,345.02,340.84,506.28,-29.8,-42.5,Sell,Overvalued,9.9,10.0,0.5,201.7,471.61
MEDANTA,Global Health Limited,Healthcare,1072.1,749.11,538.82,611.68,886.54,-30.1,-43.1,Sell,Overvalued,9.8,10.0,0.5,616.09,753.0
TATATECH,Tata Technologies Limited,Technology,540.35,376.81,297.28,292.94,460.69,-30.3,-43.4,Sell,Overvalued,10.1,10.2,0.53,197.98,379.24
DALBHARAT,Dalmia Bharat Limited,Basic Materials,1839.9,1279.85,1106.55,1081.27,1478.42,-30.4,-43.8,Sell,Overvalued,9.0,10.0,0.5,616.87,1495.11
AXISBANK,Axis Bank Limited,Financial Services,1197.3,825.61,726.97,709.27,941.94,-31.0,-45.0,Sell,Overvalued,10.5,10.0,0.5,374.93,1008.22
WHIRLPOOL,Whirlpool of India Limited,Consumer Cyclical,837.65,576.5,433.38,447.95,705.05,-31.2,-45.3,Sell,Overvalued,10.0,10.0,0.5,275.96,649.09
ARE&M,Amara Raja Energy & Mobility Limited,Industrials,773.7,532.06,475.22,400.65,663.47,-31.2,-45.4,Sell,Overvalued,10.2,10.2,0.54,229.95,422.2
COLPAL,Colgate-Palmolive (India) Limited,Consumer Defensive,1957.2,1344.9,1050.66,1037.36,1652.44,-31.3,-45.5,Sell,Overvalued,10.0,10.0,0.5,808.04,1240.07
FEDERALBNK,The Federal Bank Limited,Financial Services,263.05,180.8,116.1,137.88,223.72,-31.3,-45.5,Sell,Overvalued,10.4,10.0,0.5,160.44,158.86
BOSCHLTD,Bosch Limited,Consumer Cyclical,30185.0,20698.86,16151.54,15949.62,25448.1,-31.4,-45.8,Sell,Overvalued,10.0,10.0,0.5,9558.4,21937.01
UNITDSPR,UNITED SPIRITS LIMITED,Consumer Defensive,1314.4,901.78,720.54,711.09,1092.47,-31.4,-45.8,Sell,Overvalued,10.0,10.0,0.5,484.52,918.78
AIAENG,AIA Engineering Limited,Industrials,3665.3,2502.88,1871.59,1851.88,3153.87,-31.7,-46.4,Sell,Overvalued,9.8,10.0,0.5,1512.86,2151.47
PAGEIND,Page Industries Limited,Consumer Cyclical,30285.0,20675.65,15298.74,15086.27,26265.04,-31.7,-46.5,Sell,Overvalued,10.0,10.0,0.5,10678.08,19069.52
SARDAEN,Sarda Energy & Minerals Limited,Basic Materials,530.35,360.36,304.43,300.26,420.45,-32.1,-47.2,Sell,Overvalued,9.5,10.0,0.5,218.32,373.86
VOLTAS,Voltas Limited,Consumer Cyclical,1414.2,960.41,754.38,734.96,1185.87,-32.1,-47.2,Sell,Overvalued,9.8,10.0,0.5,396.91,1034.16
